code,id,name
A513,235,SIFILIS SECUNDARIA DE PIEL Y MEMBRANAS MUCOSAS
A514,236,OTRAS SIFILIS SECUNDARIAS
A515,237,"SIFILIS PRECOZ, LATENTE"
A519,238,"SIFILIS PRECOZ, SIN OTRA ESPECIFICACIÓN"
A520,239,SIFILIS CARDIOVASCULAR
A521,240,NEUROSIFILIS SINTOMATICA
A522,241,NEUROSIFILIS ASINTOMATICA
A523,242,NEUROSIFILIS NO ESPECIFICADA
A527,243,OTRAS SIFILIS TARDIAS SINTOMATICAS
A528,244,"SIFILIS TARDIA, LATENTE"
A529,245,"SIFILIS TARDIA, NO ESPECIFICADA"
A530,246,"SIFILIS LATENTE, NO ESPECIFICADA COMO PRECOZ O TARDIA"
A539,247,"SIFILIS, NO ESPECIFICADA"
A540,248,INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR SIN ABSCESO PERIURETRAL O DE GLANDULA ACCESORIA
A541,249,INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR CON ABSCESO PERIURETRAL Y DE GLANDULAS ACCESORIAS
A542,250,PELVIPERITONITIS GONOCOCICA Y OTRAS INFECCIONES GONOCOCICAS GENITOURINARIAS
A543,251,INFECCION GONOCOCICA DEL OJO
A544,252,INFECCION GONOCOCICA DEL SISTEMA OSTEOMUSCULAR
A545,253,FARINGITIS GONOCOCICA
A546,254,INFECCION GONOCOCICA DEL ANO Y DEL RECTO
A548,255,OTRAS INFECCIONES GONOCOCICAS
A549,256,"INFECCION, GONOCOCICA, NO ESPECIFICADA"
A55,257,LINFOGRANULOMA (VENEREO) POR CLAMIDIAS
A560,258,INFECCION DEL TRACTO GENITOURINARIO INFERIOR DEBIDA A CLAMIDIAS
A561,259,INFECCION DEL PELVIPERITONEO Y OTROS ORGANOS GENITOURINARIOS DEBIDA A CLAMIDIAS
A562,260,"INFECCIONES DEL TRACTO GENITOURINARIO DEBIDAS A CLAMIDIAS, SIN OTRA ESPECIFICACION"
A563,261,INFECCION DEL ANO Y DEL RECTO DEBIDA A CLAMIDIAS
A564,262,INFECCION DE FARINGE DEBIDA A CLAMIDIAS
A568,263,INFECCION DE TRANSMISIÓN SEXUAL DE OTROS SITIOS DEBIDA A CLAMIDIAS
A57,264,CHANCRO BLANDO
A58,265,GRANULOMA INGUINAL
A590,266,TRICOMONIASIS UROGENITAL
A598,267,TRICOMONIASIS DE OTROS SITIOS
A599,268,"TRICOMONIASIS, NO ESPECIFICADA"
A600,269,INFECCION DE GENITALES Y TRAYECTO UROGENITAL Y DEBIDA A VIRUS DEL HERPES [HERPES SIMPLE]
A601,270,INFECCION DE LA PIEL PERIANAL Y RECTO POR VIRUS DEL HERPES SIMPLE
A609,271,"INFECCION ANOGENITAL POR VIRUS DEL HERPES SIMPLE, SIN OTRA ESPECIFICACION"
A630,272,VERRUGAS (VENEREAS) ANOGENITALES
A638,273,"OTRAS ENFERMEDADES DE TRANSMISIÓN PREDOMINANTEMENTE SEXUAL, ESPECIFICADAS"
A64,274,ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA
A65,275,SIFILIS NO VENEREA
A660,276,LESIONES INICIALES DE FRAMBESIA
A661,277,LESIONES PAPILOMATOSAS MULTIPLES Y FRAMBESIA CON PASO DE CANGREJO
A662,278,OTRAS LESIONES PRECOCES DE LA PIEL EN LA FRAMBESIA
A663,279,HIPERQUERATOSIS DE FRAMBESIA
A664,280,GOMA Y ULCERAS DE FRAMBESIA
A665,281,GANGOSA
A666,282,LESIONES FRAMBESICAS DE LOS HUESOS Y DE LAS ARTICULACIONES
A667,283,OTRAS MANIFESTACIONES DE FRAMBESIA
A668,284,FRAMBESIA LATENTE
A669,285,"FRAMBESIA , NO ESPECIFICADA"
A670,286,LESIONES PRIMARIAS DE LA PINTA
A671,287,LESIONES INTERMEDIAS DE LA PINTA
A672,288,LESIONES TARDIAS DE LA PINTA
A673,289,LESIONES MIXTAS DE LA PINTA
A679,290,"PINTA, NO ESPECIFICADA"
A680,291,FIEBRE RECURRENTE TRANSMITIDA POR PIOJOS
A681,292,FIEBRE RECURRENTE TRANSMITIDA POR GARRAPATAS
A689,293,"FIEBRE RECURRENTE, NO ESPECIFICADA"
A690,294,ESTOMATITIS ULCERATIVA NECROTIZANTE
A691,295,OTRAS INFECCIONES DE VICENT
A692,296,ENFERMEDAD DE LYME
A698,297,OTRAS INFECCIONES ESPECIFICADAS POR ESPIROQUETAS
A699,298,"INFECCION POR ESPIROQUETA, NO ESPECIFICADA"
A70,299,INFECCION DEBIDA A CHLAMYDIA PSITTACI
